1997-05-07T15:37:51.801 3945343:85:5:0     86.36     28.57     -9.64     91.47 5.44572 -0.29669 5.58297 5.31336
1997-05-07T15:37:52.134 3945343:86:0:0     86.38     29.00     -9.91     91.66 5.44572 -0.29664 5.69288 5.42328
1997-05-07T15:37:52.467 3945343:86:5:0     86.37     29.32     -9.88     91.74 5.44572 -0.29659 5.80286 5.53326
1997-05-07T15:37:52.801 3945343:87:0:0     86.28     29.35     -9.71     91.65 5.44572 -0.29654 5.91301 5.64341
1997-05-07T15:37:53.134 3945343:87:5:0     86.30     29.30     -9.67     91.65 5.44572 -0.29650 6.02298 5.75338
1997-05-07T15:37:53.467 3945343:88:0:0     86.34     29.01     -9.63     91.59 5.44572 -0.29645 6.13314 5.86353
1997-05-07T15:37:53.801 3945343:88:5:0     86.43     29.02     -9.50     91.67 5.44567 -0.29640 6.24343 5.97383
1997-05-07T15:37:54.134 3945343:89:0:0     86.50     28.99     -9.51     91.72 5.44563 -0.29635 0.07008 6.08369
1997-05-07T15:37:54.467 3945343:89:5:0     86.48     29.14     -9.59     91.76 5.44553 -0.29635 0.18005 6.19366
1997-05-07T15:37:54.801 3945343:90:0:0     86.56     29.15     -9.61     91.84 5.44543 -0.29635 0.29021 0.02069
1997-05-07T15:37:55.134 3945343:90:5:0     86.73     28.96     -9.62     91.94 5.44539 -0.29630 0.40018 0.13066
1997-05-07T15:37:55.467 3945344:00:0:0     86.74     28.98     -9.49     91.95 5.44534 -0.29626 0.51043 0.24094
1997-05-07T15:37:55.801 3945344:00:5:0     86.79     28.91     -9.57     91.98 5.44529 -0.29626 0.62073 0.35124
1997-05-07T15:37:56.134 3945344:01:0:0     86.69     29.05     -9.61     91.93 5.44524 -0.29626 0.73046 0.46100
1997-05-07T15:37:56.467 3945344:01:5:0     86.87     29.16     -9.64     92.14 5.44519 -0.29630 0.84043 0.57097
1997-05-07T15:37:56.801 3945344:02:0:0     86.88     29.16     -9.66     92.15 5.44515 -0.29635 0.95068 0.68125
1997-05-07T15:37:57.134 3945344:02:5:0     86.95     29.03     -9.57     92.17 5.44510 -0.29635 1.06065 0.79122
1997-05-07T15:37:57.467 3945344:03:0:0     87.07     29.12     -9.49     92.30 5.44505 -0.29635 1.17081 0.90141
1997-05-07T15:37:57.801 3945344:03:5:0     87.26     29.35     -9.77     92.58 5.44500 -0.29640 1.28111 1.01171
1997-05-07T15:37:58.134 3945344:04:0:0     87.39     29.31     -9.91     92.71 5.44495 -0.29645 1.39103 1.12166
1997-05-07T15:37:58.467 3945344:04:5:0     87.31     29.39    -10.08     92.67 5.44495 -0.29654 1.50101 1.23164
1997-05-07T15:37:58.801 3945344:05:0:0     87.46     29.42     -9.96     92.81 5.44495 -0.29664 1.61116 1.34179
1997-05-07T15:37:59.134 3945344:05:5:0     87.60     29.30     -9.86     92.90 5.44491 -0.29669 1.72114 1.45177
1997-05-07T15:37:59.467 3945344:06:0:0     87.74     29.19     -9.83     92.99 5.44486 -0.29674 1.83138 1.56204
1997-05-07T15:37:59.801 3945344:06:5:0     87.74     29.04     -9.65     92.92 5.44491 -0.29678 1.94169 1.67235
1997-05-07T15:38:00.134 3945344:07:0:0     87.75     29.18     -9.92     93.01 5.44495 -0.29683 2.05160 1.78223
1997-05-07T15:38:00.467 3945344:07:5:0     87.76     29.02     -9.91     92.96 5.44500 -0.29693 2.16158 1.89222
1997-05-07T15:38:00.801 3945344:08:0:0     87.70     28.90     -9.93     92.87 5.44505 -0.29702 2.27182 2.00243
1997-05-07T15:38:01.134 3945344:08:5:0     87.83     28.46     -9.62     92.83 5.44510 -0.29707 2.38181 2.11242
1997-05-07T15:38:01.467 3945344:09:0:0     87.82     28.43     -9.31     92.77 5.44515 -0.29712 2.49205 2.22262
1997-05-07T15:38:01.801 3945344:09:5:0     87.84     28.17     -8.89     92.68 5.44524 -0.29712 2.60236 2.33294
1997-05-07T15:38:02.134 3945344:10:0:0     87.92     28.02     -8.83     92.70 5.44534 -0.29712 2.71227 2.44278
1997-05-07T15:38:02.467 3945344:10:5:0     87.94     28.11     -8.92     92.75 5.44539 -0.29717 2.82226 2.55277
1997-05-07T15:38:02.801 3945344:11:0:0     87.98     28.34     -9.13     92.88 5.44543 -0.29721 2.93239 2.66288
1997-05-07T15:38:03.134 3945344:11:5:0     87.90     28.32     -9.25     92.81 5.44548 -0.29717 3.04238 2.77287
1997-05-07T15:38:03.467 3945344:12:0:0     87.94     28.32     -9.13     92.84 5.44553 -0.29712 3.15261 2.88307
1997-05-07T15:38:03.801 3945344:12:5:0     87.96     28.35     -9.19     92.88 5.44558 -0.29712 3.26294 2.99339
1997-05-07T15:38:04.134 3945344:13:0:0     87.90     28.38     -9.17     92.83 5.44563 -0.29712 3.37293 3.10336
1997-05-07T15:38:04.467 3945344:13:5:0     87.86     28.33     -9.13     92.76 5.44572 -0.29707 3.48292 3.21335
1997-05-07T15:38:04.801 3945344:14:0:0     87.78     28.27     -9.03     92.66 5.44582 -0.29702 3.59306 3.32343
1997-05-07T15:38:05.134 3945344:14:5:0     87.91     28.10     -8.85     92.71 5.44587 -0.29698 3.70305 3.43341
1997-05-07T15:38:05.467 3945344:15:0:0     87.78     28.22     -8.87     92.63 5.44591 -0.29693 3.81328 3.54362
1997-05-07T15:38:05.801 3945344:15:5:0     87.71     28.34     -8.90     92.60 5.44591 -0.29683 3.92359 3.65393
1997-05-07T15:38:06.134 3945344:16:0:0     87.58     28.33     -8.86     92.47 5.44591 -0.29674 4.03341 3.76374
1997-05-07T15:38:06.467 3945344:16:5:0     87.59     28.37     -8.96     92.50 5.44596 -0.29664 4.14338 3.87372
1997-05-07T15:38:06.801 3945344:17:0:0     87.60     28.46     -8.84     92.53 5.44601 -0.29654 4.25363 3.98394
1997-05-07T15:38:07.134 3945344:17:5:0     87.59     28.35     -8.73     92.47 5.44596 -0.29650 4.36360 4.09391
1997-05-07T15:38:07.467 3945344:18:0:0     87.49     28.28     -8.76     92.36 5.44591 -0.29645 4.47375 4.20409
1997-05-07T15:38:07.801 3945344:18:5:0     87.57     28.10     -8.50     92.36 5.44587 -0.29640 4.58405 4.31439
1997-05-07T15:38:08.134 3945344:19:0:0     87.51     27.96     -8.59     92.27 5.44582 -0.29635 4.69398 4.42434
