timebg	Bbgz
2021-06-07T16:36:15.506	-66.7278632646026
2021-06-07T16:36:16.506	-66.7355979205715
2021-06-07T16:36:17.506	-66.7433325765403
2021-06-07T16:36:18.506	-66.7510672325092
2021-06-07T16:36:19.505	-66.7587941538221
2021-06-07T16:36:20.505	-66.7665288097909
2021-06-07T16:36:21.505	-66.7742634657597
2021-06-07T16:36:22.505	-66.7819981217286
2021-06-07T16:36:23.505	-66.7897327776974
2021-06-07T16:36:24.505	-66.7974674336663
2021-06-07T16:36:25.506	-66.8052098242911
2021-06-07T16:36:26.506	-66.8129444802599
2021-06-07T16:36:27.506	-66.8206791362288
2021-06-07T16:36:28.506	-66.8284137921976
2021-06-07T16:36:29.506	-66.8361484481665
2021-06-07T16:36:30.506	-66.8438831041353
2021-06-07T16:36:31.506	-66.8516177601041
2021-06-07T16:36:32.505	-66.859344681417
2021-06-07T16:36:33.505	-66.8670793373859
2021-06-07T16:36:34.505	-66.8748139933547
2021-06-07T16:36:35.505	-66.8825486493236
2021-06-07T16:36:36.505	-66.8902833052924
2021-06-07T16:36:37.505	-66.8980179612612
2021-06-07T16:36:38.506	-66.905760351886
2021-06-07T16:36:39.505	-66.9134872731989
2021-06-07T16:36:40.506	-66.9212296638237
2021-06-07T16:36:41.506	-66.9289643197926
2021-06-07T16:36:42.506	-66.9366989757614
2021-06-07T16:36:43.506	-66.9444336317303
2021-06-07T16:36:44.506	-66.9521682876991
2021-06-07T16:36:45.506	-66.959902943668
2021-06-07T16:36:46.505	-66.9676298649808
2021-06-07T16:36:47.505	-66.9753645209497
2021-06-07T16:36:48.505	-66.9830991769185
2021-06-07T16:36:49.505	-66.9908338328874
2021-06-07T16:36:50.505	-66.9985684888562
2021-06-07T16:36:51.505	-67.0063031448251
2021-06-07T16:36:52.506	-67.0140455354499
2021-06-07T16:36:53.506	-67.0217801914187
2021-06-07T16:36:54.506	-67.0295148473876
2021-06-07T16:36:55.506	-67.0372495033564
2021-06-07T16:36:56.506	-67.0449841593253
2021-06-07T16:36:57.506	-67.0527188152941
2021-06-07T16:36:58.506	-67.0604534712629
2021-06-07T16:36:59.505	-67.0681803925758
2021-06-07T16:37:00.505	-67.0759150485447
2021-06-07T16:37:01.505	-67.0836497045135
2021-06-07T16:37:02.505	-67.0913843604823
2021-06-07T16:37:03.505	-67.0991190164512
2021-06-07T16:37:04.505	-67.10685367242
2021-06-07T16:37:05.506	-67.1145960630448
2021-06-07T16:37:06.505	-67.1223229843577
2021-06-07T16:37:07.506	-67.1300653749825
2021-06-07T16:37:08.506	-67.1378000309514
2021-06-07T16:37:09.506	-67.1455346869202
2021-06-07T16:37:10.506	-67.1532693428891
2021-06-07T16:37:11.506	-67.1610039988579
2021-06-07T16:37:12.506	-67.1687386548267
2021-06-07T16:37:13.505	-67.1764655761396
2021-06-07T16:37:14.505	-67.1842002321085
2021-06-07T16:37:15.505	-67.1919348880773
2021-06-07T16:37:16.505	-67.1996695440461
2021-06-07T16:37:17.505	-67.207404200015
2021-06-07T16:37:18.505	-67.2151388559838
2021-06-07T16:37:19.506	-67.2228812466087
2021-06-07T16:37:20.506	-67.2306159025775
2021-06-07T16:37:21.506	-67.2383505585463
2021-06-07T16:37:22.506	-67.2460852145152
2021-06-07T16:37:23.506	-67.253819870484
2021-06-07T16:37:24.506	-67.2615545264529
2021-06-07T16:37:25.506	-67.2692891824217
2021-06-07T16:37:26.505	-67.2770161037346
2021-06-07T16:37:27.505	-67.2847507597034
2021-06-07T16:37:28.505	-67.2924854156723
2021-06-07T16:37:29.505	-67.3002200716411
2021-06-07T16:37:30.505	-67.30795472761
2021-06-07T16:37:31.505	-67.3156893835788
2021-06-07T16:37:32.506	-67.3234317742036
2021-06-07T16:37:33.505	-67.3311586955165
2021-06-07T16:37:34.506	-67.3389010861413
2021-06-07T16:37:35.506	-67.3466357421102
2021-06-07T16:37:36.506	-67.354370398079
2021-06-07T16:37:37.506	-67.3621050540478
2021-06-07T16:37:38.506	-67.3698397100167
2021-06-07T16:37:39.506	-67.3775743659855
2021-06-07T16:37:40.505	-67.3853012872984
2021-06-07T16:37:41.505	-67.3930359432673
2021-06-07T16:37:42.505	-67.4007705992361
2021-06-07T16:37:43.505	-67.4085052552049
2021-06-07T16:37:44.505	-67.4162399111738
2021-06-07T16:37:45.505	-67.4239745671426
2021-06-07T16:37:46.505	-67.4317092231115
2021-06-07T16:37:47.506	-67.4394516137363
2021-06-07T16:37:48.506	-67.4471862697051
2021-06-07T16:37:49.506	-67.454920925674
2021-06-07T16:37:50.506	-67.4626555816428
2021-06-07T16:37:51.506	-67.4703902376117
2021-06-07T16:37:52.506	-67.4781248935805
2021-06-07T16:37:53.505	-67.4858518148934
2021-06-07T16:37:54.505	-67.4935864708622
2021-06-07T16:37:55.505	-67.5013211268311
2021-06-07T16:37:56.505	-67.5090557827999
2021-06-07T16:37:57.505	-67.5167904387688
2021-06-07T16:37:58.505	-67.5245250947376
2021-06-07T16:37:59.506	-67.5322674853624
2021-06-07T16:38:00.505	-67.5399944066753
2021-06-07T16:38:01.506	-67.5477367973001
2021-06-07T16:38:02.506	-67.5554714532689
2021-06-07T16:38:03.506	-67.5632061092378
2021-06-07T16:38:04.506	-67.5709407652066
2021-06-07T16:38:05.506	-67.5786754211755
2021-06-07T16:38:06.506	-67.5864100771443
2021-06-07T16:38:07.505	-67.5941369984572
2021-06-07T16:38:08.505	-67.601871654426
2021-06-07T16:38:09.505	-67.6096063103949
2021-06-07T16:38:10.505	-67.6173409663637
2021-06-07T16:38:11.505	-67.6250756223326
2021-06-07T16:38:12.505	-67.6328102783014
2021-06-07T16:38:13.506	-67.6405526689262
2021-06-07T16:38:14.506	-67.6482873248951
2021-06-07T16:38:15.506	-67.6560219808639
2021-06-07T16:38:16.506	-67.6637566368327
2021-06-07T16:38:17.506	-67.6714912928016
2021-06-07T16:38:18.506	-67.6792259487704
2021-06-07T16:38:19.506	-67.6869606047393
2021-06-07T16:38:20.505	-67.6946875260521
2021-06-07T16:38:21.505	-67.702422182021
2021-06-07T16:38:22.505	-67.7101568379898
2021-06-07T16:38:23.505	-67.7178914939587
2021-06-07T16:38:24.505	-67.7256261499275
2021-06-07T16:38:25.505	-67.7333608058964
2021-06-07T16:38:26.506	-67.7411031965212
2021-06-07T16:38:27.505	-67.7488301178341
2021-06-07T16:38:28.506	-67.7565725084589
2021-06-07T16:38:29.506	-67.7643071644277
2021-06-07T16:38:30.506	-67.7720418203966
2021-06-07T16:38:31.506	-67.7797764763654
2021-06-07T16:38:32.506	-67.7875111323343
2021-06-07T16:38:33.506	-67.7952457883031
2021-06-07T16:38:34.505	-67.802972709616
2021-06-07T16:38:35.505	-67.8107073655848
2021-06-07T16:38:36.505	-67.8184420215537
2021-06-07T16:38:37.505	-67.8261766775225
2021-06-07T16:38:38.505	-67.8339113334913
2021-06-07T16:38:39.505	-67.8416459894602
2021-06-07T16:38:40.505	-67.849380645429
2021-06-07T16:38:41.506	-67.8571230360538
2021-06-07T16:38:42.506	-67.8648576920227
2021-06-07T16:38:43.506	-67.8725923479915
2021-06-07T16:38:44.506	-67.8803270039604
2021-06-07T16:38:45.506	-67.8880616599292
2021-06-07T16:38:46.506	-67.8957963158981
2021-06-07T16:38:47.505	-67.9035232372109
2021-06-07T16:38:48.505	-67.9112578931798
2021-06-07T16:38:49.505	-67.9189925491486
2021-06-07T16:38:50.505	-67.9267272051175
2021-06-07T16:38:51.505	-67.9344618610863
2021-06-07T16:38:52.505	-67.9421965170552
2021-06-07T16:38:53.506	-67.94993890768
2021-06-07T16:38:54.505	-67.9576658289929
2021-06-07T16:38:55.506	-67.9654082196177
2021-06-07T16:38:56.506	-67.9731428755865
2021-06-07T16:38:57.506	-67.9808775315554
2021-06-07T16:38:58.506	-67.9886121875242
2021-06-07T16:38:59.506	-67.996346843493
2021-06-07T16:39:00.506	-68.0040814994619
2021-06-07T16:39:01.505	-68.0118084207748
2021-06-07T16:39:02.505	-68.0195430767436
2021-06-07T16:39:03.505	-68.0272777327124
2021-06-07T16:39:04.505	-68.0350123886813
2021-06-07T16:39:05.505	-68.0427470446501
2021-06-07T16:39:06.505	-68.050481700619
2021-06-07T16:39:07.505	-68.0582163565878
2021-06-07T16:39:08.506	-68.0659587472126
2021-06-07T16:39:09.506	-68.0736934031815
2021-06-07T16:39:10.506	-68.0814280591503
2021-06-07T16:39:11.506	-68.0891627151192
2021-06-07T16:39:12.506	-68.096897371088
2021-06-07T16:39:13.506	-68.1046320270569
2021-06-07T16:39:14.505	-68.1123589483697
2021-06-07T16:39:15.505	-68.1200936043386
2021-06-07T16:39:16.505	-68.1278282603074
2021-06-07T16:39:17.505	-68.1355629162763
2021-06-07T16:39:18.505	-68.1432975722451
2021-06-07T16:39:19.505	-68.1510322282139
2021-06-07T16:39:20.506	-68.1587746188388
2021-06-07T16:39:21.505	-68.1665015401516
2021-06-07T16:39:22.506	-68.1742439307765
2021-06-07T16:39:23.506	-68.1819785867453
2021-06-07T16:39:24.506	-68.1897132427141
2021-06-07T16:39:25.506	-68.197447898683
