timedata	Var2
1996-09-06T18:48:09.153	-69.2713070303348
1996-09-06T18:48:09.453	-69.2330881971362
1996-09-06T18:48:09.820	-69.3062728581813
1996-09-06T18:48:10.120	-69.4027510810538
1996-09-06T18:48:10.487	-69.484801817564
1996-09-06T18:48:10.787	-69.3884006797277
1996-09-06T18:48:11.153	-69.6291831909723
1996-09-06T18:48:11.453	-69.7012371948797
1996-09-06T18:48:11.820	-69.7108173906581
1996-09-06T18:48:12.120	-69.9946096967603
1996-09-06T18:48:12.487	-70.2022774091595
1996-09-06T18:48:12.787	-70.3645450986466
1996-09-06T18:48:13.153	-70.3007773168438
1996-09-06T18:48:13.453	-70.3758165767009
1996-09-06T18:48:13.820	-70.3557203649421
1996-09-06T18:48:14.120	-70.3423759246341
1996-09-06T18:48:14.487	-70.2239017718217
1996-09-06T18:48:14.787	-70.261763342333
1996-09-06T18:48:15.153	-70.6856400852319
1996-09-06T18:48:15.453	-70.9725025463991
1996-09-06T18:48:15.820	-70.605895141871
1996-09-06T18:48:16.120	-70.4359019043068
1996-09-06T18:48:16.487	-70.2970213994898
1996-09-06T18:48:16.787	-70.1493564982491
1996-09-06T18:48:17.153	-70.0187537154915
1996-09-06T18:48:17.453	-70.0415464169696
1996-09-06T18:48:17.820	-69.9870919551112
1996-09-06T18:48:18.120	-69.8051576853398
1996-09-06T18:48:18.487	-69.7484374557932
1996-09-06T18:48:18.787	-69.8439969001261
1996-09-06T18:48:19.153	-69.8989938108408
1996-09-06T18:48:19.453	-69.9221498496186
1996-09-06T18:48:19.820	-70.0980756533345
1996-09-06T18:48:20.120	-70.1890433271965
1996-09-06T18:48:20.487	-70.2922405750352
1996-09-06T18:48:20.787	-70.412095467684
1996-09-06T18:48:21.153	-70.5370555776441
1996-09-06T18:48:21.453	-70.5518301361122
1996-09-06T18:48:21.820	-70.6478891076487
1996-09-06T18:48:22.120	-70.6911378790961
1996-09-06T18:48:22.487	-70.6274246470923
1996-09-06T18:48:22.787	-70.5986112242739
1996-09-06T18:48:23.153	-70.3739524288417
1996-09-06T18:48:23.453	-70.1454874780959
1996-09-06T18:48:23.820	-70.2675835091703
1996-09-06T18:48:24.120	-70.2446483592185
1996-09-06T18:48:24.487	-70.3486504285482
1996-09-06T18:48:24.787	-70.4124513935281
