time	alt
1996-09-06T18:33:42.487	9596.959944
1996-09-06T18:33:42.787	9594.74973600001
1996-09-06T18:33:43.154	9592.03960000001
1996-09-06T18:33:43.454	9589.80308000002
1996-09-06T18:33:43.821	9587.092944
1996-09-06T18:33:44.121	9584.88273600001
1996-09-06T18:33:44.487	9582.198912
1996-09-06T18:33:44.787	9579.962392
1996-09-06T18:33:45.154	9577.25225599999
1996-09-06T18:33:45.454	9575.04204800001
1996-09-06T18:33:45.821	9572.331912
1996-09-06T18:33:46.121	9570.12170400001
1996-09-06T18:33:46.487	9567.411568
1996-09-06T18:33:46.787	9565.20136000001
1996-09-06T18:33:47.154	9562.49122399999
1996-09-06T18:33:48.787	9550.44032799999
1996-09-06T18:33:49.154	9547.73019200001
1996-09-06T18:33:49.454	9545.51998400001
1996-09-06T18:33:49.821	9542.80984799999
1996-09-06T18:33:50.121	9540.59963999999
1996-09-06T18:33:50.487	9537.88950399999
1996-09-06T18:33:50.787	9535.67929600001
1996-09-06T18:33:51.154	9532.96916
1996-09-06T18:33:51.454	9530.75895199999
1996-09-06T18:33:51.821	9528.04881600001
1996-09-06T18:33:52.121	9525.812296
1996-09-06T18:33:52.487	9523.12847199999
1996-09-06T18:33:52.787	9520.89195199999
1996-09-06T18:33:53.154	9518.20812800001
1996-09-06T18:33:53.454	9515.971608
1996-09-06T18:33:53.821	9513.26147200001
1996-09-06T18:33:54.121	9511.05126399999
1996-09-06T18:33:54.487	9508.36744
1996-09-06T18:33:54.787	9506.13092000001
1996-09-06T18:33:55.154	9503.420784
1996-09-06T18:33:55.454	9501.210576
1996-09-06T18:33:55.821	9498.50044
1996-09-06T18:33:56.121	9496.290232
1996-09-06T18:33:56.487	9493.58009599999
1996-09-06T18:33:56.787	9491.369888
1996-09-06T18:33:57.154	9488.65975200001
1996-09-06T18:33:57.454	9486.449544
1996-09-06T18:33:57.821	9483.739408
1996-09-06T18:33:58.121	9481.52920000002
1996-09-06T18:33:58.487	9478.819064
1996-09-06T18:33:58.787	9476.60885600001
1996-09-06T18:33:59.154	9473.89872
1996-09-06T18:33:59.454	9471.68851199999
1996-09-06T18:33:59.821	9468.97837599999
1996-09-06T18:34:00.121	9466.76816800001
1996-09-06T18:34:00.487	9464.058032
1996-09-06T18:34:00.787	9461.847824
1996-09-06T18:34:01.154	9459.13768800001
1996-09-06T18:34:01.454	9456.92748
1996-09-06T18:34:01.821	9454.217344
1996-09-06T18:34:02.121	9452.007136
1996-09-06T18:34:02.487	9449.29700000001
1996-09-06T18:34:02.787	9447.08679199999
1996-09-06T18:34:03.154	9444.376656
1996-09-06T18:34:03.454	9442.166448
1996-09-06T18:34:03.821	9439.45631200001
1996-09-06T18:34:04.121	9437.24610399999
1996-09-06T18:34:04.487	9434.53596799999
1996-09-06T18:34:04.787	9432.32576000001
1996-09-06T18:34:05.154	9429.615624
1996-09-06T18:34:05.454	9427.40541600001
1996-09-06T18:34:05.821	9424.69528
1996-09-06T18:34:06.121	9422.48507200001
1996-09-06T18:34:06.487	9419.80124799999
1996-09-06T18:34:06.787	9417.56472799999
1996-09-06T18:34:07.154	9414.85459200001
1996-09-06T18:34:07.454	9412.644384
1996-09-06T18:34:07.821	9409.93424799999
1996-09-06T18:34:08.121	9407.72404
1996-09-06T18:34:08.487	9405.04021600001
1996-09-06T18:34:08.787	9402.83000800001
1996-09-06T18:34:09.154	9400.119872
1996-09-06T18:34:09.454	9397.883352
1996-09-06T18:34:09.821	9395.19952799999
1996-09-06T18:34:10.121	9392.96300799999
1996-09-06T18:34:10.487	9390.27918399999
1996-09-06T18:34:10.787	9388.068976
1996-09-06T18:34:11.154	9385.35884
1996-09-06T18:34:11.454	9383.14863200001
1996-09-06T18:34:11.821	9380.438496
1996-09-06T18:34:12.121	9378.228288
1996-09-06T18:34:12.487	9375.51815199999
1996-09-06T18:34:12.787	9373.30794399999
1996-09-06T18:34:13.154	9370.59780800001
1996-09-06T18:34:13.454	9368.38760000001
1996-09-06T18:34:13.821	9365.677464
1996-09-06T18:34:14.121	9363.46725600001
1996-09-06T18:34:14.487	9360.75712000001
1996-09-06T18:34:14.787	9358.546912
1996-09-06T18:34:15.154	9355.836776
1996-09-06T18:34:15.454	9353.62656799999
1996-09-06T18:34:15.821	9350.91643199999
1996-09-06T18:34:16.121	9348.70622399999
1996-09-06T18:34:16.487	9345.996088
1996-09-06T18:34:16.787	9343.78588
1996-09-06T18:34:17.154	9341.10205599999
1996-09-06T18:34:17.454	9338.865536
1996-09-06T18:34:17.821	9336.15540000001
1996-09-06T18:34:18.121	9333.945192
1996-09-06T18:34:18.487	9331.26136800001
1996-09-06T18:34:18.787	9329.05115999999
1996-09-06T18:34:19.154	9326.34102400001
1996-09-06T18:34:19.454	9324.130816
1996-09-06T18:34:19.821	9321.42068000001
1996-09-06T18:34:20.121	9319.210472
1996-09-06T18:34:20.487	9316.50033599999
1996-09-06T18:34:20.787	9314.290128
1996-09-06T18:34:21.154	9311.579992
1996-09-06T18:34:21.454	9309.36978399999
1996-09-06T18:34:21.821	9306.65964800001
1996-09-06T18:34:22.121	9304.44944000001
1996-09-06T18:34:22.487	9301.76561600001
1996-09-06T18:34:22.787	9299.52909599999
1996-09-06T18:34:23.154	9296.845272
1996-09-06T18:34:23.454	9294.608752
1996-09-06T18:34:23.821	9291.92492799999
1996-09-06T18:34:24.121	9289.71472000001
1996-09-06T18:34:24.487	9287.004584
1996-09-06T18:34:24.787	9284.79437599999
1996-09-06T18:34:25.154	9282.08424000001
1996-09-06T18:34:25.454	9279.874032
1996-09-06T18:34:25.821	9277.16389599999
1996-09-06T18:34:26.121	9274.95368799999
1996-09-06T18:34:26.487	9272.24355200001
1996-09-06T18:34:26.787	9270.033344
1996-09-06T18:34:27.154	9267.323208
1996-09-06T18:34:27.454	9265.113
1996-09-06T18:34:27.821	9262.42917599999
1996-09-06T18:34:28.121	9260.19265599999
1996-09-06T18:34:28.487	9257.508832
1996-09-06T18:34:28.787	9255.29862400001
1996-09-06T18:34:29.154	9252.588488
1996-09-06T18:34:29.454	9250.37828
1996-09-06T18:34:29.821	9247.66814400001
1996-09-06T18:34:30.121	9245.457936
1996-09-06T18:34:30.487	9242.7478
1996-09-06T18:34:30.787	9240.53759200001
1996-09-06T18:34:31.154	9237.82745600001
1996-09-06T18:34:31.454	9235.617248
1996-09-06T18:34:31.821	9232.93342400001
1996-09-06T18:34:32.121	9230.72321600001
1996-09-06T18:34:32.487	9228.01308
1996-09-06T18:34:32.787	9225.802872
1996-09-06T18:34:33.154	9223.09273599999
1996-09-06T18:34:33.454	9220.88252799999
1996-09-06T18:34:33.821	9218.17239199999
1996-09-06T18:34:34.121	9215.962184
1996-09-06T18:34:34.487	9213.27835999999
1996-09-06T18:34:34.787	9211.068152
1996-09-06T18:34:35.154	9208.35801599999
1996-09-06T18:34:35.454	9206.14780799999
1996-09-06T18:34:35.821	9203.437672
1996-09-06T18:34:36.121	9201.227464
1996-09-06T18:34:36.487	9198.51732799999
1996-09-06T18:34:36.787	9196.30712000001
1996-09-06T18:34:37.154	9193.596984
1996-09-06T18:34:37.454	9191.38677600001
1996-09-06T18:34:37.821	9188.67663999999
1996-09-06T18:34:38.121	9186.46643200001
1996-09-06T18:34:38.487	9183.782608
1996-09-06T18:34:38.787	9181.5724
1996-09-06T18:34:39.154	9178.86226399999
1996-09-06T18:34:39.454	9176.65205600001
1996-09-06T18:34:39.821	9173.94192
1996-09-06T18:34:40.121	9171.731712
1996-09-06T18:34:40.487	9169.047888
1996-09-06T18:34:40.787	9166.83768000001
1996-09-06T18:34:41.154	9164.12754400001
1996-09-06T18:34:41.454	9161.91733599999
1996-09-06T18:34:41.821	9159.2072
1996-09-06T18:34:42.121	9156.99699199999
1996-09-06T18:34:42.487	9154.28685600001
1996-09-06T18:34:42.787	9152.07664800001
1996-09-06T18:34:43.154	9149.392824
1996-09-06T18:34:43.454	9147.15630399999
1996-09-06T18:34:43.821	9144.47248
1996-09-06T18:34:44.121	9142.262272
1996-09-06T18:34:44.487	9139.552136
1996-09-06T18:34:44.787	9137.34192800001
1996-09-06T18:34:45.154	9134.631792
1996-09-06T18:34:45.454	9132.42158399999
1996-09-06T18:34:45.821	9129.73775999999
1996-09-06T18:34:46.121	9127.527552
1996-09-06T18:34:46.487	9124.81741599999
1996-09-06T18:34:46.787	9122.60720799999
1996-09-06T18:34:47.154	9119.897072
1996-09-06T18:34:47.454	9117.68686400001
1996-09-06T18:34:47.821	9114.97672800001
1996-09-06T18:34:48.121	9112.76652
1996-09-06T18:34:48.487	9110.082696
1996-09-06T18:34:48.787	9107.87248799999
1996-09-06T18:34:49.154	9105.16235200001
1996-09-06T18:34:49.454	9102.952144
1996-09-06T18:34:49.821	9100.242008
1996-09-06T18:34:50.121	9098.0318
1996-09-06T18:34:50.487	9095.34797599999
