timebg	Bbgy
1996-09-06T18:46:14.487	-17.0473183465136
1996-09-06T18:46:14.787	-17.0453433249786
1996-09-06T18:46:15.154	-17.0429272153007
1996-09-06T18:46:15.454	-17.0409521937657
1996-09-06T18:46:15.820	-17.038542667493
1996-09-06T18:46:16.120	-17.036567645958
1996-09-06T18:46:16.487	-17.0341515362801
1996-09-06T18:46:16.787	-17.0321765147451
1996-09-06T18:46:17.154	-17.0297604050673
1996-09-06T18:46:17.454	-17.0277853835323
1996-09-06T18:46:17.820	-17.0253758572596
1996-09-06T18:46:18.120	-17.0234008357245
1996-09-06T18:46:18.487	-17.0209847260467
1996-09-06T18:46:18.787	-17.0190097045117
1996-09-06T18:46:19.154	-17.0165935948339
1996-09-06T18:46:19.454	-17.0146185732988
1996-09-06T18:46:19.820	-17.0122090470261
1996-09-06T18:46:20.120	-17.0102340254911
1996-09-06T18:46:20.487	-17.0078179158133
1996-09-06T18:46:20.787	-17.0058428942783
1996-09-06T18:46:21.154	-17.0034267846004
1996-09-06T18:46:21.454	-17.0014517630654
1996-09-06T18:46:21.820	-16.9990422367927
1996-09-06T18:46:22.120	-16.9970672152577
1996-09-06T18:46:22.487	-16.9946511055798
1996-09-06T18:46:22.787	-16.9926760840448
1996-09-06T18:46:23.154	-16.990259974367
1996-09-06T18:46:23.454	-16.988284952832
1996-09-06T18:46:23.820	-16.9858754265592
1996-09-06T18:46:24.120	-16.9839004050242
1996-09-06T18:46:24.487	-16.9814842953464
1996-09-06T18:46:24.787	-16.9795092738114
1996-09-06T18:46:25.154	-16.9770931641335
1996-09-06T18:46:25.454	-16.9751181425985
1996-09-06T18:46:25.820	-16.9727086163258
1996-09-06T18:46:26.120	-16.9707335947908
1996-09-06T18:46:26.487	-16.968317485113
1996-09-06T18:46:26.787	-16.9663424635779
1996-09-06T18:46:27.154	-16.9639263539001
1996-09-06T18:46:27.454	-16.9619513323651
1996-09-06T18:46:27.820	-16.9595418060924
1996-09-06T18:46:28.120	-16.9575667845574
1996-09-06T18:46:28.487	-16.9551506748795
1996-09-06T18:46:28.787	-16.9531756533445
1996-09-06T18:46:29.154	-16.9507595436667
1996-09-06T18:46:29.454	-16.9487845221317
1996-09-06T18:46:29.820	-16.9463749958589
1996-09-06T18:46:30.120	-16.9443999743239
1996-09-06T18:46:30.487	-16.9419838646461
1996-09-06T18:46:30.787	-16.9400088431111
1996-09-06T18:46:31.154	-16.9375927334332
1996-09-06T18:46:31.454	-16.9356177118982
1996-09-06T18:46:31.820	-16.9332081856255
1996-09-06T18:46:32.120	-16.9312331640905
1996-09-06T18:46:32.487	-16.9288170544127
1996-09-06T18:46:32.787	-16.9268420328776
1996-09-06T18:46:33.154	-16.9244259231998
1996-09-06T18:46:33.454	-16.9224509016648
1996-09-06T18:46:33.820	-16.9200413753921
1996-09-06T18:46:34.120	-16.918066353857
1996-09-06T18:46:34.487	-16.9156502441792
1996-09-06T18:46:34.787	-16.9136752226442
1996-09-06T18:46:35.154	-16.9112591129664
1996-09-06T18:46:35.454	-16.9092840914313
1996-09-06T18:46:35.820	-16.9068745651586
1996-09-06T18:46:36.120	-16.9048995436236
1996-09-06T18:46:36.487	-16.9024834339458
1996-09-06T18:46:36.787	-16.9005084124108
1996-09-06T18:46:37.154	-16.8980923027329
1996-09-06T18:46:37.454	-16.8961172811979
1996-09-06T18:46:37.820	-16.8937077549252
1996-09-06T18:46:38.120	-16.8917327333902
1996-09-06T18:46:38.487	-16.8893166237123
1996-09-06T18:46:38.787	-16.8873416021773
1996-09-06T18:46:39.154	-16.8849254924995
1996-09-06T18:46:39.454	-16.8829504709645
1996-09-06T18:46:39.820	-16.8805409446918
1996-09-06T18:46:40.120	-16.8785659231567
1996-09-06T18:46:40.487	-16.8761498134789
1996-09-06T18:46:40.787	-16.8741747919439
1996-09-06T18:46:41.154	-16.8717586822661
1996-09-06T18:46:41.454	-16.869783660731
1996-09-06T18:46:41.820	-16.8673741344583
1996-09-06T18:46:42.120	-16.8653991129233
1996-09-06T18:46:42.487	-16.8629830032455
1996-09-06T18:46:42.787	-16.8610079817105
1996-09-06T18:46:43.154	-16.8585918720326
1996-09-06T18:46:43.454	-16.8566168504976
1996-09-06T18:46:43.820	-16.8542073242249
1996-09-06T18:46:44.120	-16.8522323026899
1996-09-06T18:46:44.487	-16.849816193012
1996-09-06T18:46:44.787	-16.847841171477
1996-09-06T18:46:45.154	-16.8454250617992
1996-09-06T18:46:45.454	-16.8434500402642
1996-09-06T18:46:45.820	-16.8410405139914
1996-09-06T18:46:46.120	-16.8390654924564
1996-09-06T18:46:46.487	-16.8366493827786
1996-09-06T18:46:46.787	-16.8346743612436
1996-09-06T18:46:47.154	-16.8322582515657
1996-09-06T18:46:47.454	-16.8302832300307
1996-09-06T18:46:47.820	-16.827873703758
1996-09-06T18:46:48.120	-16.825898682223
1996-09-06T18:46:48.487	-16.8234825725452
1996-09-06T18:46:48.787	-16.8215075510101
1996-09-06T18:46:49.154	-16.8190914413323
1996-09-06T18:46:49.454	-16.8171164197973
1996-09-06T18:46:49.820	-16.8147068935246
1996-09-06T18:46:50.120	-16.8127318719896
1996-09-06T18:46:50.487	-16.8103157623117
1996-09-06T18:46:50.787	-16.8083407407767
1996-09-06T18:46:51.154	-16.8059246310989
1996-09-06T18:46:51.454	-16.8039496095639
1996-09-06T18:46:51.820	-16.8015400832911
1996-09-06T18:46:52.120	-16.7995650617561
1996-09-06T18:46:52.487	-16.7971489520783
1996-09-06T18:46:52.787	-16.7951739305433
1996-09-06T18:46:53.154	-16.7927578208654
1996-09-06T18:46:53.454	-16.7907827993304
1996-09-06T18:46:53.820	-16.7883732730577
1996-09-06T18:46:54.120	-16.7863982515227
1996-09-06T18:46:54.487	-16.7839821418449
1996-09-06T18:46:54.787	-16.7820071203098
1996-09-06T18:46:55.154	-16.779591010632
1996-09-06T18:46:55.454	-16.777615989097
1996-09-06T18:46:55.820	-16.7752064628243
1996-09-06T18:46:56.120	-16.7732314412893
1996-09-06T18:46:56.487	-16.7708153316114
1996-09-06T18:46:58.120	-16.7600646310558
1996-09-06T18:46:58.487	-16.757648521378
1996-09-06T18:46:58.787	-16.755673499843
1996-09-06T18:46:59.154	-16.7532573901651
1996-09-06T18:46:59.454	-16.7512823686301
1996-09-06T18:46:59.820	-16.7488728423574
1996-09-06T18:47:00.120	-16.7468978208224
1996-09-06T18:47:00.487	-16.7444817111445
1996-09-06T18:47:00.787	-16.7425066896095
1996-09-06T18:47:01.154	-16.7400905799317
1996-09-06T18:47:01.454	-16.7381155583967
1996-09-06T18:47:01.820	-16.735706032124
1996-09-06T18:47:02.120	-16.7337310105889
1996-09-06T18:47:02.487	-16.7313149009111
1996-09-06T18:47:02.787	-16.7293398793761
1996-09-06T18:47:03.154	-16.7269237696983
1996-09-06T18:47:03.454	-16.7249487481632
1996-09-06T18:47:03.820	-16.7225392218905
1996-09-06T18:47:04.120	-16.7205642003555
1996-09-06T18:47:04.487	-16.7181480906777
1996-09-06T18:47:04.787	-16.7161730691427
1996-09-06T18:47:05.154	-16.7137569594648
1996-09-06T18:47:05.454	-16.7117819379298
1996-09-06T18:47:05.820	-16.7093724116571
1996-09-06T18:47:06.120	-16.7073973901221
1996-09-06T18:47:06.487	-16.7049812804442
1996-09-06T18:47:06.787	-16.7030062589092
