time	Bz
2021-06-07T16:55:42.505	119.2113
2021-06-07T16:55:43.505	118.7648
2021-06-07T16:55:44.505	118.2384
2021-06-07T16:55:45.505	117.8322
2021-06-07T16:55:46.505	117.3859
2021-06-07T16:55:47.505	116.9993
2021-06-07T16:55:48.504	116.5831
2021-06-07T16:55:49.504	116.2268
2021-06-07T16:55:50.504	115.8004
2021-06-07T16:55:51.504	115.1542
2021-06-07T16:55:52.504	114.498
2021-06-07T16:55:53.505	113.8717
2021-06-07T16:55:54.504	113.3255
2021-06-07T16:55:55.505	112.8994
2021-06-07T16:55:56.505	112.3229
2021-06-07T16:55:57.505	111.9065
2021-06-07T16:55:58.505	111.5301
2021-06-07T16:55:59.505	111.1934
2021-06-07T16:56:00.505	110.6168
2021-06-07T16:56:01.504	110.1805
2021-06-07T16:56:02.504	109.5639
2021-06-07T16:56:03.504	109.0474
2021-06-07T16:56:04.504	108.5811
2021-06-07T16:56:05.504	107.9848
2021-06-07T16:56:06.504	107.2882
2021-06-07T16:56:07.505	106.462
2021-06-07T16:56:08.505	105.2259
2021-06-07T16:56:09.505	104.1203
2021-06-07T16:56:10.505	103.3843
2021-06-07T16:56:11.505	102.6686
2021-06-07T16:56:12.505	102.343
2021-06-07T16:56:13.505	101.8268
2021-06-07T16:56:14.505	101.351
2021-06-07T16:56:15.504	100.8041
2021-06-07T16:56:16.504	100.2372
2021-06-07T16:56:17.504	99.4999
2021-06-07T16:56:18.504	99.0025
2021-06-07T16:56:19.504	98.7659
2021-06-07T16:56:20.504	98.3595
2021-06-07T16:56:21.504	97.9532
2021-06-07T16:56:22.505	97.326
2021-06-07T16:56:23.505	96.7893
2021-06-07T16:56:24.505	96.5323
2021-06-07T16:56:25.505	96.5155
2021-06-07T16:56:26.505	96.1992
2021-06-07T16:56:27.505	95.7724
2021-06-07T16:56:28.504	95.5054
2021-06-07T16:56:29.504	95.4085
2021-06-07T16:56:30.504	95.161
2021-06-07T16:56:31.504	95.2135
2021-06-07T16:56:32.504	95.2262
2021-06-07T16:56:33.504	94.94
2021-06-07T16:56:34.505	94.2027
2021-06-07T16:56:35.504	93.5055
2021-06-07T16:56:36.505	92.8488
2021-06-07T16:56:37.505	92.4919
2021-06-07T16:56:38.505	92.0647
2021-06-07T16:56:39.505	91.828
2021-06-07T16:56:40.505	91.3808
2021-06-07T16:56:41.504	90.6529
2021-06-07T16:56:42.504	90.0352
2021-06-07T16:56:43.504	89.5374
2021-06-07T16:56:44.504	89.0797
2021-06-07T16:56:45.504	88.612
2021-06-07T16:56:46.504	88.1546
2021-06-07T16:56:47.505	87.6773
2021-06-07T16:56:48.504	87.1198
2021-06-07T16:56:49.505	86.7222
2021-06-07T16:56:50.505	86.4245
2021-06-07T16:56:51.505	86.107
2021-06-07T16:56:52.505	85.6793
2021-06-07T16:56:53.505	85.3016
2021-06-07T16:56:54.505	84.6539
2021-06-07T16:56:55.504	84.2761
2021-06-07T16:56:56.504	83.86824
2021-06-07T16:56:57.504	83.45024
2021-06-07T16:56:58.504	83.022
2021-06-07T16:56:59.504	82.75368
2021-06-07T16:57:00.504	82.58511
2021-06-07T16:57:01.505	82.29608
2021-06-07T16:57:02.504	82.00737
2021-06-07T16:57:03.505	81.65811
2021-06-07T16:57:04.505	81.27887
2021-06-07T16:57:05.505	80.85981
2021-06-07T16:57:06.505	80.35046
2021-06-07T16:57:07.505	79.75112
2021-06-07T16:57:08.504	79.22192
2021-06-07T16:57:09.504	78.71287
2021-06-07T16:57:10.504	78.16418
2021-06-07T16:57:11.504	77.69559
2021-06-07T16:57:12.504	77.28621
2021-06-07T16:57:13.504	76.91698
2021-06-07T16:57:14.504	76.72838
2021-06-07T16:57:15.504	76.79957
2021-06-07T16:57:16.505	76.76092
2021-06-07T16:57:17.505	76.58159
2021-06-07T16:57:18.505	76.50217
2021-06-07T16:57:19.505	76.33311
2021-06-07T16:57:20.505	76.03367
2021-06-07T16:57:21.505	75.52423
2021-06-07T16:57:22.504	74.944304
2021-06-07T16:57:23.504	74.434211
2021-06-07T16:57:24.504	73.794081
2021-06-07T16:57:25.504	73.314035
2021-06-07T16:57:26.504	72.87388
2021-06-07T16:57:27.504	72.41379
2021-06-07T16:57:28.504	71.7136
2021-06-07T16:57:29.504	70.97349
2021-06-07T16:57:30.504	70.26323
2021-06-07T16:57:31.504	69.87378
2021-06-07T16:57:32.504	69.37358
2021-06-07T16:57:33.504	68.61293
2021-06-07T16:57:34.504	68.34263
2021-06-07T16:57:35.504	68.14236
2021-06-07T16:57:36.504	68.07252
2021-06-07T16:57:37.504	68.0331
2021-06-07T16:57:38.504	67.84279
2021-06-07T16:57:39.504	67.60233
2021-06-07T16:57:40.504	67.51224
2021-06-07T16:57:41.504	67.32129
2021-06-07T16:57:42.504	67.06024
2021-06-07T16:57:43.504	66.80908
2021-06-07T16:57:44.504	66.2987
2021-06-07T16:57:45.504	66.28792
2021-06-07T16:57:46.504	66.31662
2021-06-07T16:57:47.504	66.11468
2021-06-07T16:57:48.504	65.8639
2021-06-07T16:57:49.504	65.50349
2021-06-07T16:57:50.504	65.22296
2021-06-07T16:57:51.504	65.38357
2021-06-07T16:57:52.504	65.16312
2021-06-07T16:57:53.504	64.90183
2021-06-07T16:57:54.504	64.39158
2021-06-07T16:57:55.504	63.9915
2021-06-07T16:57:56.504	63.3404
2021-06-07T16:57:57.504	62.9194
2021-06-07T16:57:58.504	62.2385
2021-06-07T16:57:59.504	61.8576
