time	Bz
1996-09-06T19:00:51.153	-913.648695195207
1996-09-06T19:00:51.453	-910.78276082543
1996-09-06T19:00:51.820	-909.379985509577
1996-09-06T19:00:52.120	-910.188749069199
1996-09-06T19:00:52.486	-909.350622273271
1996-09-06T19:00:52.786	-909.825473409963
1996-09-06T19:00:53.153	-903.303296758478
1996-09-06T19:00:53.453	-904.330723711854
1996-09-06T19:00:53.820	-901.146741365219
1996-09-06T19:00:54.120	-900.124534221666
1996-09-06T19:00:54.486	-902.287039444532
1996-09-06T19:00:54.786	-905.189467629904
1996-09-06T19:00:55.153	-901.592872112312
1996-09-06T19:00:55.453	-902.412222633562
1996-09-06T19:00:55.820	-900.006334145947
1996-09-06T19:00:56.120	-899.354204146306
1996-09-06T19:00:56.486	-898.574185862037
1996-09-06T19:00:56.786	-896.522177124284
1996-09-06T19:00:57.153	-897.965563937753
1996-09-06T19:00:57.453	-894.283280114112
1996-09-06T19:00:57.820	-892.656805222637
1996-09-06T19:00:58.120	-891.177941793133
1996-09-06T19:00:58.486	-889.657261697555
1996-09-06T19:00:58.786	-891.283401614677
1996-09-06T19:00:59.153	-889.369273525177
1996-09-06T19:00:59.453	-887.214658068549
1996-09-06T19:00:59.820	-888.102716927947
1996-09-06T19:01:00.120	-886.602142156042
1996-09-06T19:01:00.486	-887.017339024129
1996-09-06T19:01:00.786	-880.621696305712
1996-09-06T19:01:01.153	-883.954265051979
1996-09-06T19:01:01.453	-881.962616385489
1996-09-06T19:01:01.820	-879.672067601877
1996-09-06T19:01:02.120	-880.754692060072
1996-09-06T19:01:02.486	-878.948716454228
1996-09-06T19:01:02.786	-878.53062989743
1996-09-06T19:01:03.153	-877.145854548752
1996-09-06T19:01:03.453	-874.319976147559
1996-09-06T19:01:03.820	-876.5373919077
1996-09-06T19:01:04.120	-876.549204909017
1996-09-06T19:01:04.486	-872.556129320972
1996-09-06T19:01:04.786	-871.072081411243
1996-09-06T19:01:05.153	-868.16340320997
1996-09-06T19:01:05.453	-867.140859906246
1996-09-06T19:01:05.820	-869.786157497805
1996-09-06T19:01:06.120	-868.214788863756
1996-09-06T19:01:06.486	-867.568312892052
1996-09-06T19:01:06.786	-863.318853775657
1996-09-06T19:01:07.153	-864.785423580994
1996-09-06T19:01:07.453	-862.312511814339
1996-09-06T19:01:07.820	-862.433664236731
1996-09-06T19:01:08.120	-858.951806453816
1996-09-06T19:01:08.486	-859.265111676028
1996-09-06T19:01:08.786	-857.533028637272
1996-09-06T19:01:09.153	-858.579071673301
1996-09-06T19:01:09.453	-858.444471545646
1996-09-06T19:01:09.820	-852.837321868312
1996-09-06T19:01:10.120	-855.057054996842
1996-09-06T19:01:10.486	-852.979829743917
1996-09-06T19:01:10.786	-848.836347788527
1996-09-06T19:01:11.153	-849.450205369792
1996-09-06T19:01:11.453	-847.14746492771
1996-09-06T19:01:11.820	-846.708819893258
1996-09-06T19:01:12.120	-844.833231613745
1996-09-06T19:01:12.486	-845.21635789026
1996-09-06T19:01:12.786	-843.793384063003
1996-09-06T19:01:13.153	-843.33032793499
1996-09-06T19:01:13.453	-841.087384411589
1996-09-06T19:01:13.820	-841.095120870694
1996-09-06T19:01:14.120	-840.143127115943
1996-09-06T19:01:14.486	-838.653195334101
1996-09-06T19:01:14.786	-836.962352414685
1996-09-06T19:01:15.153	-837.619636844115
1996-09-06T19:01:15.453	-836.785879337144
1996-09-06T19:01:15.820	-831.516529051534
1996-09-06T19:01:16.120	-833.573284167329
1996-09-06T19:01:16.486	-831.544357634409
1996-09-06T19:01:16.786	-830.850219295512
1996-09-06T19:01:17.153	-826.677098213537
1996-09-06T19:01:17.453	-824.627220831944
1996-09-06T19:01:17.820	-823.878465826204
1996-09-06T19:01:18.120	-824.205368669456
1996-09-06T19:01:18.486	-825.520083817283
1996-09-06T19:01:18.786	-823.357009897671
1996-09-06T19:01:19.153	-821.52843075776
1996-09-06T19:01:19.453	-820.251768777557
1996-09-06T19:01:19.820	-819.416093438952
1996-09-06T19:01:20.120	-820.573206686267
1996-09-06T19:01:20.486	-818.217553058843
1996-09-06T19:01:20.786	-814.358077185356
1996-09-06T19:01:21.153	-817.517213427394
